hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,1,dd,plus,25,25,630,31.428571428571427,39.04761904761905,30.317460317460316
蒲田7,kakuban,1,dd,plus,26,26,629,130.3656597774245,41.0174880763116,33.068362480127185
蒲田7,kakuban,1,dd,plus,27,27,635,67.08661417322834,44.40944881889764,34.80314960629921
蒲田7,kakuban,1,dd,plus,28,28,634,-82.01892744479495,34.85804416403786,27.917981072555204
蒲田7,kakuban,1,dd,plus,29,29,578,-112.62975778546713,37.54325259515571,27.33564013840831
蒲田7,kakuban,1,dd,plus,30,30,582,329.89690721649487,45.18900343642612,34.36426116838488
蒲田7,kakuban,1,dd,plus,31,31,317,17.665615141955836,40.694006309148264,33.12302839116719
蒲田7,kakuban,12,is_x_day,plus,0,0,10162,75.14268844715608,38.44715607163944,30.623892934461722
蒲田7,kakuban,12,is_x_day,plus,1,1,4624,219.35553633217992,43.53373702422145,33.28287197231834
蒲田7,kakuban,2,is_x_day,plus,0,0,12861,155.87434880646916,39.335976984682375,31.405022937563174
蒲田7,kakuban,2,is_x_day,plus,1,1,5857,295.6462352740311,44.374253030561725,34.847191394912066
蒲田7,kakuban,17,dd_bin,hit104,1-7,0,705,221.84397163120568,42.695035460992905,35.46099290780142
蒲田7,kakuban,17,dd_bin,hit104,8-14,1,728,-138.04945054945054,35.714285714285715,28.021978021978022
蒲田7,kakuban,17,dd_bin,hit104,15-21,2,739,86.06224627875507,38.56562922868741,31.393775372124495
蒲田7,kakuban,17,dd_bin,hit104,22-28,3,744,25.0,37.903225806451616,31.586021505376344
蒲田7,kakuban,17,dd_bin,hit104,29-31,4,246,214.6341463414634,41.86991869918699,35.36585365853659
蒲田7,kakuban,14,is_x_day,plus,0,0,6966,80.79242032730404,38.34338214183175,30.864197530864196
蒲田7,kakuban,14,is_x_day,plus,1,1,3179,217.17521233092168,43.25259515570934,33.02925448254168
蒲田7,kakuban,12,dd,plus,1,1,499,202.8056112224449,42.68537074148296,33.06613226452906
蒲田7,kakuban,12,dd,plus,2,2,492,94.71544715447155,38.41463414634146,31.70731707317073
蒲田7,kakuban,12,dd,plus,3,3,455,16.043956043956044,35.604395604395606,29.450549450549453
蒲田7,kakuban,12,dd,plus,4,4,452,0.8849557522123894,36.50442477876106,29.646017699115045
蒲田7,kakuban,12,dd,plus,5,5,454,26.87224669603524,38.986784140969164,29.515418502202646
蒲田7,kakuban,12,dd,plus,6,6,456,222.3684210526316,39.25438596491228,30.482456140350877
蒲田7,kakuban,12,dd,plus,7,7,503,309.741550695825,46.71968190854871,36.58051689860835
蒲田7,kakuban,12,dd,plus,8,8,495,167.4747474747475,40.0,33.535353535353536
蒲田7,kakuban,12,dd,plus,9,9,490,311.83673469387753,41.224489795918366,34.48979591836735
蒲田7,kakuban,12,dd,plus,10,10,495,248.08080808080808,41.81818181818181,31.91919191919192
蒲田7,kakuban,12,dd,plus,11,11,501,196.8063872255489,44.71057884231537,33.13373253493014
蒲田7,kakuban,12,dd,plus,12,12,414,41.54589371980676,40.57971014492754,31.15942028985507
蒲田7,kakuban,12,dd,plus,13,13,498,33.734939759036145,38.55421686746988,29.518072289156628
蒲田7,kakuban,12,dd,plus,14,14,494,-98.38056680161944,35.82995951417004,28.542510121457486
蒲田7,kakuban,12,dd,plus,15,15,493,68.55983772819472,38.94523326572008,32.25152129817444
蒲田7,kakuban,12,dd,plus,16,16,489,-61.96319018404908,35.58282208588957,28.834355828220858
蒲田7,kakuban,12,dd,plus,17,17,501,400.998003992016,45.10978043912176,32.93413173652694
蒲田7,kakuban,12,dd,plus,18,18,492,70.73170731707317,38.61788617886179,30.48780487804878
蒲田7,kakuban,12,dd,plus,19,19,489,134.560327198364,38.445807770961146,29.65235173824131
蒲田7,kakuban,12,dd,plus,20,20,492,-106.91056910569105,36.58536585365854,29.268292682926827
蒲田7,kakuban,12,dd,plus,21,21,495,60.2020202020202,38.58585858585858,29.292929292929294
蒲田7,kakuban,12,dd,plus,22,22,500,249.6,41.8,32.800000000000004
蒲田7,kakuban,12,dd,plus,23,23,494,128.13765182186233,41.29554655870445,33.40080971659919
蒲田7,kakuban,12,dd,plus,24,24,496,142.33870967741936,38.306451612903224,29.03225806451613
蒲田7,kakuban,12,dd,plus,25,25,494,190.2834008097166,36.63967611336032,30.971659919028337
蒲田7,kakuban,12,dd,plus,26,26,494,140.68825910931173,39.068825910931174,29.959514170040485
蒲田7,kakuban,12,dd,plus,27,27,499,60.521042084168336,43.08617234468938,33.66733466933868
