hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2191-2202,dd,plus,25,25,201,93.03482587064677,38.308457711442784,25.37313432835821
蒲田1,section,2191-2202,dd,plus,26,26,201,27.36318407960199,37.81094527363184,26.368159203980102
蒲田1,section,2191-2202,dd,plus,27,27,203,153.69458128078819,48.275862068965516,27.586206896551722
蒲田1,section,2191-2202,dd,plus,28,28,197,286.29441624365484,44.16243654822335,30.96446700507614
蒲田1,section,2191-2202,dd,plus,29,29,170,84.70588235294117,43.529411764705884,27.058823529411764
蒲田1,section,2191-2202,dd,plus,30,30,179,301.67597765363126,45.81005586592179,30.16759776536313
蒲田1,section,2191-2202,dd,plus,31,31,107,68.22429906542057,43.925233644859816,26.168224299065418
蒲田1,section,2236-2255,is_x_day,plus,0,0,7508,39.45125199786894,39.57112413425679,24.613745338305808
蒲田1,section,2236-2255,is_x_day,plus,1,1,3091,217.82594629569718,46.78097703008735,29.537366548042705
蒲田1,section,2001-2020,dd,plus,1,1,378,276.4550264550264,39.15343915343915,34.65608465608466
蒲田1,section,2001-2020,dd,plus,2,2,355,16.619718309859156,39.718309859154935,33.52112676056338
蒲田1,section,2001-2020,dd,plus,3,3,347,439.4812680115274,43.804034582132566,39.76945244956772
蒲田1,section,2001-2020,dd,plus,4,4,326,15.644171779141104,33.74233128834356,28.52760736196319
蒲田1,section,2001-2020,dd,plus,5,5,335,-2.985074626865672,34.92537313432836,28.955223880597014
蒲田1,section,2001-2020,dd,plus,6,6,322,104.34782608695652,34.78260869565217,31.366459627329192
蒲田1,section,2001-2020,dd,plus,7,7,359,494.7075208913649,44.84679665738162,37.60445682451253
蒲田1,section,2001-2020,dd,plus,8,8,322,44.099378881987576,32.298136645962735,28.26086956521739
蒲田1,section,2001-2020,dd,plus,9,9,341,199.12023460410558,40.17595307917888,33.724340175953074
蒲田1,section,2001-2020,dd,plus,10,10,347,-62.53602305475504,34.5821325648415,31.70028818443804
蒲田1,section,2001-2020,dd,plus,11,11,357,537.8151260504202,43.977591036414566,38.095238095238095
蒲田1,section,2001-2020,dd,plus,12,12,313,-96.48562300319489,32.26837060702875,29.712460063897762
蒲田1,section,2001-2020,dd,plus,13,13,325,130.15384615384616,39.38461538461539,35.69230769230769
蒲田1,section,2001-2020,dd,plus,14,14,343,74.63556851311954,36.44314868804665,30.903790087463555
蒲田1,section,2001-2020,dd,plus,15,15,332,-77.40963855421687,33.734939759036145,28.915662650602407
蒲田1,section,2001-2020,dd,plus,16,16,321,176.94704049844236,34.26791277258567,31.15264797507788
蒲田1,section,2001-2020,dd,plus,17,17,357,-137.81512605042016,35.57422969187675,30.532212885154063
蒲田1,section,2001-2020,dd,plus,18,18,299,59.86622073578595,36.45484949832776,33.77926421404682
蒲田1,section,2001-2020,dd,plus,19,19,308,-2.5974025974025974,35.38961038961039,33.44155844155844
蒲田1,section,2001-2020,dd,plus,20,20,311,28.29581993569132,32.475884244372985,29.903536977491964
蒲田1,section,2001-2020,dd,plus,21,21,337,-305.9347181008902,30.86053412462908,27.002967359050444
蒲田1,section,2001-2020,dd,plus,22,22,337,504.45103857566767,44.21364985163205,37.68545994065282
蒲田1,section,2001-2020,dd,plus,23,23,316,86.07594936708861,37.65822784810127,32.594936708860764
蒲田1,section,2001-2020,dd,plus,24,24,295,-405.76271186440675,29.830508474576273,26.440677966101696
蒲田1,section,2001-2020,dd,plus,25,25,311,29.581993569131832,38.263665594855304,34.40514469453376
蒲田1,section,2001-2020,dd,plus,26,26,304,-228.94736842105263,32.23684210526316,27.302631578947366
蒲田1,section,2001-2020,dd,plus,27,27,340,-274.11764705882354,34.705882352941174,31.176470588235293
蒲田1,section,2001-2020,dd,plus,28,28,313,123.00319488817891,35.46325878594249,31.309904153354633
蒲田1,section,2001-2020,dd,plus,29,29,271,-98.5239852398524,33.579335793357934,30.627306273062732
蒲田1,section,2001-2020,dd,plus,30,30,296,-120.94594594594595,34.7972972972973,28.040540540540544
蒲田1,section,2001-2020,dd,plus,31,31,178,110.11235955056179,33.146067415730336,32.58426966292135
蒲田1,section,2121-2131,dd,plus,1,1,207,202.8985507246377,42.99516908212561,32.850241545893724
蒲田1,section,2121-2131,dd,plus,2,2,195,-150.25641025641025,35.38461538461539,27.17948717948718
蒲田1,section,2121-2131,dd,plus,3,3,186,-27.956989247311828,37.096774193548384,24.193548387096776
蒲田1,section,2121-2131,dd,plus,4,4,194,37.628865979381445,42.78350515463917,31.958762886597935
蒲田1,section,2121-2131,dd,plus,5,5,188,184.5744680851064,42.5531914893617,27.659574468085108
