island,section,last_digit,period,xday_mean,period_mean,deviation,global_mean,deviation_vs_global,n_xday_records,n_period_records
ジャグラー島,641-657,1,旧店長2026前半,352.7708333333333,235.5875,117.18333333333331,246.33787731256086,106.43295602077245,48,240
ジャグラー島,641-657,2,旧店長2026前半,-457.2083333333333,166.0125,-623.2208333333333,145.9378640776699,-603.1461974110032,48,240
ジャグラー島,641-657,3,旧店長2026前半,-283.0833333333333,78.92916666666666,-362.0125,63.5,-346.5833333333333,48,240
ジャグラー島,641-657,4,旧店長2026前半,332.4583333333333,66.7375,265.7208333333333,31.509708737864077,300.94862459546925,48,240
ジャグラー島,641-657,5,旧店長2026前半,-17.145833333333332,-131.12916666666666,113.98333333333333,-13.003883495145631,-4.141949838187701,48,240
ジャグラー島,641-657,6,旧店長2026前半,-34.125,-49.44166666666667,15.31666666666667,-5.238834951456311,-28.88616504854369,48,240
ジャグラー島,641-657,7,旧店長2026前半,320.375,19.229166666666668,301.1458333333333,-23.65242718446602,344.02742718446603,48,240
ジャグラー島,641-657,8,旧店長2026前半,84.0,-69.61666666666666,153.61666666666667,45.02718446601942,38.97281553398058,24,120
ジャグラー島,641-657,9,旧店長2026前半,-120.70833333333333,-162.525,41.81666666666668,-67.03300970873786,-53.675323624595464,24,120
ジャグラー島,658-674,0,旧店長2026前半,10.208333333333334,70.05416666666666,-59.845833333333324,53.758553274682306,-43.55021994134897,48,240
ジャグラー島,658-674,1,旧店長2026前半,-157.0625,-29.1625,-127.9,4.371844660194175,-161.43434466019417,48,240
ジャグラー島,658-674,2,旧店長2026前半,480.375,155.3,325.075,128.4126213592233,351.9623786407767,48,240
ジャグラー島,658-674,3,旧店長2026前半,406.9791666666667,117.70833333333333,289.27083333333337,176.11165048543688,230.8675161812298,48,240
ジャグラー島,658-674,4,旧店長2026前半,455.9583333333333,264.2708333333333,191.6875,310.54174757281555,145.41658576051776,48,240
ジャグラー島,658-674,5,旧店長2026前半,255.125,37.208333333333336,217.91666666666666,29.434951456310678,225.69004854368933,24,120
ジャグラー島,658-674,6,旧店長2026前半,73.75,129.16666666666666,-55.41666666666666,54.2873786407767,19.4626213592233,24,120
ジャグラー島,658-674,7,旧店長2026前半,50.333333333333336,82.35,-32.01666666666666,37.95890410958904,12.374429223744293,24,120
ジャグラー島,658-674,8,旧店長2026前半,-30.3125,-114.89166666666667,84.57916666666667,-43.68252427184466,13.370024271844663,48,240
ジャグラー島,658-674,9,旧店長2026前半,285.9166666666667,23.158333333333335,262.7583333333333,-12.153398058252428,298.0700647249191,48,240
ジャグラー島,675-691,0,旧店長2026前半,35.458333333333336,-106.70833333333333,142.16666666666666,-55.17281553398058,90.63114886731393,48,240
ジャグラー島,675-691,1,旧店長2026前半,-228.4375,-38.0375,-190.4,-15.292233009708738,-213.14526699029125,48,240
ジャグラー島,675-691,2,旧店長2026前半,-389.125,-105.925,-283.2,39.219844357976655,-428.3448443579766,24,120
ジャグラー島,675-691,3,旧店長2026前半,327.9583333333333,55.2,272.7583333333333,-29.518446601941747,357.4767799352751,24,120
ジャグラー島,675-691,4,旧店長2026前半,313.2916666666667,57.36666666666667,255.925,-21.299029126213593,334.5906957928803,24,120
ジャグラー島,675-691,5,旧店長2026前半,77.04166666666667,76.40833333333333,0.63333333333334,131.6757281553398,-54.63406148867314,48,240
ジャグラー島,675-691,6,旧店長2026前半,149.89583333333334,-5.7,155.59583333333333,69.90291262135922,79.99292071197412,48,240
ジャグラー島,675-691,7,旧店長2026前半,444.3333333333333,0.7333333333333333,443.59999999999997,21.6689453125,422.6643880208333,48,240
ジャグラー島,675-691,8,旧店長2026前半,281.5833333333333,-79.25833333333334,360.84166666666664,-18.135922330097088,299.71925566343043,48,240
ジャグラー島,675-691,9,旧店長2026前半,450.5625,98.54166666666667,352.0208333333333,93.8621359223301,356.7003640776699,48,240
ジャグラー島,641-657,0,新店長2026/5-,403.5,110.76666666666667,292.73333333333335,18.5747572815534,384.9252427184466,6,30
ジャグラー島,641-657,1,新店長2026/5-,24.416666666666668,269.3,-244.88333333333335,246.33787731256086,-221.9212106458942,12,60
ジャグラー島,641-657,2,新店長2026/5-,536.4166666666666,325.8333333333333,210.58333333333331,145.9378640776699,390.4788025889967,12,60
