hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,19,True,ゴブリンスレイヤーII,other,9,44.44444444444444,35.39325842696629,9.051186017478152,27,91,0.7282240075032334,0.9617323534658608,False
レイトギャップ,19,True,スマスロ北斗の拳,other,221,38.46153846153847,29.5962067910676,8.865331670470866,28,90,0.003822956079204672,0.11182146531673665,False
レイトギャップ,19,True,ゴジラ,other,7,42.857142857142854,34.46601941747573,8.391123439667126,29,89,0.6968747852963845,0.9480738358101974,False
レイトギャップ,19,True,アイムジャグラーEX-TP,jug,365,34.794520547945204,26.546940165120436,8.247580382824768,30,88,0.00034485801304823315,0.04034838752664328,True
レイトギャップ,19,True,スマスロ サンダーV,bt,12,33.33333333333333,25.214899713467048,8.11843361986628,31,87,0.5086900078361538,0.913283854531484,False
レイトギャップ,19,True,鉄拳6,other,36,38.88888888888889,30.801687763713083,8.08720112517581,32,86,0.2801633731357512,0.8870888080090471,False
レイトギャップ,19,True,スマスロ ハナビ,bt,16,31.25,23.46723044397463,7.782769556025372,33,85,0.5518442699664172,0.913283854531484,False
レイトギャップ,19,True,マイジャグラーV,jug,75,28.000000000000004,20.362381363244175,7.637618636755828,34,84,0.11117597884967498,0.6503794762705986,False
レイトギャップ,19,True,機動戦士ガンダムSEED,other,26,34.61538461538461,27.04,7.575384615384614,35,83,0.3771384907995976,0.9050813666067492,False
レイトギャップ,19,True,ゾンビランドサガ,other,11,36.36363636363637,28.83895131086142,7.524685052774945,36,82,0.5211455119003768,0.913283854531484,False
レイトギャップ,19,True,ゴーゴージャグラー3,jug,210,31.9047619047619,24.443757725587144,7.461004179174758,37,81,0.012224308705338614,0.23837401975410297,False
レイトギャップ,19,True,北斗の拳 転生の章2,other,76,35.526315789473685,28.275551553354344,7.250764236119341,38,80,0.1596848267311876,0.7029804522741965,False
レイトギャップ,19,True,ディスクアップ2,bt,12,41.66666666666667,34.5088161209068,7.157850545759871,39,79,0.559503381128185,0.913283854531484,False
レイトギャップ,19,True,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,other,118,35.59322033898305,28.540031397174253,7.0531889418087985,40,78,0.08234609582325342,0.6417874944,False
レイトギャップ,19,True,ゴッドイーター リザレクション,other,88,36.36363636363637,29.338842975206614,7.024793388429753,41,77,0.15826593436815817,0.7029804522741965,False
レイトギャップ,19,True,東京リベンジャーズ,other,36,33.33333333333333,26.811594202898554,6.521739130434774,42,76,0.3494257020987933,0.9010149212197371,False
レイトギャップ,19,True,HEY！エリートサラリーマン鏡,other,23,39.130434782608695,32.69230769230769,6.438127090301002,43,75,0.508054698273985,0.913283854531484,False
レイトギャップ,19,True,沖ドキ!BLACK,oki,125,48.0,41.949934123847164,6.050065876152836,44,74,0.17360078840843177,0.7184974914116571,False
レイトギャップ,19,True,戦国乙女4 戦乱に閃く炯眼の軍師,other,97,35.051546391752574,29.055118110236222,5.996428281516351,45,73,0.17934201663602967,0.7184974914116571,False
レイトギャップ,19,True,モンキーターンV,other,195,36.41025641025641,30.417560653573194,5.992695756683215,46,72,0.06155070685567587,0.6001193918428397,False
レイトギャップ,19,True,スマート沖スロ ニューキングハナハナV,hana,15,33.33333333333333,27.365728900255753,5.967604433077575,47,71,0.5688003272151627,0.913283854531484,False
レイトギャップ,19,True,スマスロ炎炎ノ消防隊,other,63,34.92063492063492,29.2436974789916,5.676937441643318,48,70,0.33114966073208696,0.8870888080090471,False
レイトギャップ,19,True,麻雀物語,other,30,33.33333333333333,27.670527670527672,5.662805662805656,49,69,0.5389725429746609,0.913283854531484,False
レイトギャップ,19,True,転生したら剣でした,other,21,33.33333333333333,27.788649706457925,5.544683626875404,50,68,0.6251775705280542,0.9302701632005349,False
