date,machine_number,machine_name,games,diff,payout,day_baseline,edge,pool_size,universe_size
20251228,3170,ゴーゴージャグラー3,2445,200,1.027266530334015,169.1358024691358,30.864197530864203,162,162
20251228,3184,ゴーゴージャグラー3,2487,-500,0.9329848545771344,169.1358024691358,-669.1358024691358,162,162
20251228,3186,ゴーゴージャグラー3,1256,-400,0.8938428874734607,169.1358024691358,-569.1358024691358,162,162
20251229,3170,ゴーゴージャグラー3,3018,-800,0.9116412635299315,170.41420118343194,-970.4142011834319,169,169
20251229,3173,ゴーゴージャグラー3,6607,700,1.0353160789062106,170.41420118343194,529.5857988165681,169,169
20251229,3185,ゴーゴージャグラー3,8111,4200,1.1726051041795094,170.41420118343194,4029.585798816568,169,169
20251230,3173,ゴーゴージャグラー3,7453,700,1.0313073035466702,-26.74418604651163,726.7441860465117,172,172
20251230,3184,ゴーゴージャグラー3,7888,400,1.0169033130493577,-26.74418604651163,426.74418604651163,172,172
20251230,3185,ゴーゴージャグラー3,4196,-1700,0.8649507467429298,-26.74418604651163,-1673.2558139534883,172,172
20251231,3173,ゴーゴージャグラー3,7363,800,1.0362171216442573,895.3488372093024,-95.34883720930236,172,172
20251231,3185,ゴーゴージャグラー3,4486,300,1.0222915737851093,895.3488372093024,-595.3488372093024,172,172
20251231,3186,ゴーゴージャグラー3,1393,-1000,0.7607083034218712,895.3488372093024,-1895.3488372093025,172,172
20260101,3184,ゴーゴージャグラー3,8465,3000,1.1181334908446545,2636.046511627907,363.95348837209303,172,172
20260101,3185,ゴーゴージャグラー3,8314,2800,1.112260444230615,2636.046511627907,163.95348837209303,172,172
20260101,3186,ゴーゴージャグラー3,7717,-100,0.9956805321584381,2636.046511627907,-2736.046511627907,172,172
20260102,3286,マイジャグラーV,4171,-500,0.9600415567809478,125.29411764705883,-625.2941176470588,170,170
20260102,3184,ゴーゴージャグラー3,8134,200,1.008196049504139,125.29411764705883,74.70588235294117,170,170
20260102,3185,ゴーゴージャグラー3,8390,500,1.019864918553834,125.29411764705883,374.70588235294116,170,170
20260103,3286,マイジャグラーV,7358,0,1.0,0.0,0.0,170,170
20260103,3184,ゴーゴージャグラー3,3937,200,1.0169333672000678,0.0,200.0,170,170
20260103,3185,ゴーゴージャグラー3,5687,0,1.0,0.0,0.0,170,170
20260104,3286,マイジャグラーV,1588,-400,0.9160369437447523,-238.65030674846625,-161.34969325153375,163,163
20260104,3184,ゴーゴージャグラー3,1017,-300,0.9016715830875123,-238.65030674846625,-61.34969325153375,163,163
20260104,3185,ゴーゴージャグラー3,3965,-100,0.9915931063472047,-238.65030674846625,138.65030674846625,163,163
20260105,3286,マイジャグラーV,6688,400,1.0199362041467304,69.32515337423312,330.67484662576686,163,163
20260105,3185,ゴーゴージャグラー3,1723,-1000,0.8065389823950474,69.32515337423312,-1069.3251533742332,163,163
20260105,3189,ゴーゴージャグラー3,1688,-300,0.9407582938388626,69.32515337423312,-369.32515337423314,163,163
20260106,3286,マイジャグラーV,7923,100,1.0042071605873195,116.31205673758865,-16.312056737588648,141,141
20260106,3173,ゴーゴージャグラー3,4838,0,1.0,116.31205673758865,-116.31205673758865,141,141
20260106,3185,ゴーゴージャグラー3,4808,900,1.062396006655574,116.31205673758865,783.6879432624114,141,141
20260107,3173,ゴーゴージャグラー3,6142,0,1.0,149.41860465116278,-149.41860465116278,172,172
20260107,3185,ゴーゴージャグラー3,6576,-700,0.9645174371451744,149.41860465116278,-849.4186046511628,172,172
20260107,3189,ゴーゴージャグラー3,7321,1400,1.0637435687292265,149.41860465116278,1250.5813953488373,172,172
20260108,3173,ゴーゴージャグラー3,4808,1200,1.0831946755407653,347.0149253731343,852.9850746268658,134,134
20260108,3185,ゴーゴージャグラー3,5341,-100,0.9937589714784997,347.0149253731343,-447.0149253731343,134,134
20260108,3189,ゴーゴージャグラー3,2223,-100,0.9850052481631429,347.0149253731343,-447.0149253731343,134,134
20260109,3286,マイジャグラーV,7465,100,1.0044652824291136,67.37588652482269,32.62411347517731,141,141
20260109,3173,ゴーゴージャグラー3,3888,2200,1.1886145404663924,67.37588652482269,2132.624113475177,141,141
20260109,3186,ゴーゴージャグラー3,6148,-900,0.9512036434612883,67.37588652482269,-967.3758865248227,141,141
20260110,3286,マイジャグラーV,1709,-800,0.8439633313828749,100.0,-900.0,170,170
20260110,3185,ゴーゴージャグラー3,5687,1000,1.0586132114178537,100.0,900.0,170,170
20260110,3186,ゴーゴージャグラー3,7054,700,1.033078158964181,100.0,600.0,170,170
20260111,3185,ゴーゴージャグラー3,5614,-1200,0.9287495546847168,18.023255813953487,-1218.0232558139535,172,172
20260111,3186,ゴーゴージャグラー3,6642,-300,0.9849442938873834,18.023255813953487,-318.0232558139535,172,172
